date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-20,50.6897,156.018,E,-0.0115,0.0026,0.0258,-0.005,-0.0012,0.0034,0.0116,0.0234,0.0181,0.0204,0.0187,0.0156,-0.0007,-0.0058,-0.0017,0.0023,0.0061,0.0038,0.0052,0.0013,-0.0022,-0.0039,-0.004,-0.0043,-0.0039,-0.003,-0.0059,0.0026,0.0095,0.0019
2000-09-20,50.6897,156.018,N,0.0166,0.024,0.0237,0.0163,0.0174,0.0206,0.0155,0.0134,0.0129,0.0109,0.0096,0.0074,0.0002,-0.0005,-0.0103,-0.0151,-0.0111,-0.0075,-0.0022,-0.0002,0.0059,0.007,0.0062,0.0046,0.0104,0.0098,0.0099,-0.0019,-0.0117,-0.0042
2000-09-20,50.6897,156.018,NE,,0.024,0.0321,0.0463,0.0619,0.0495,0.0449,0.0349,0.0395,0.0382,0.0326,0.0318,0.0262,0.0104,-0.0072,-0.0067,-0.0022,-0.0005,-0.0017,-0.0074,-0.0044,-0.001,-0.0037,-0.0096,-0.0109,-0.0058,-0.0079,-0.0024,-0.0025,-0.0033
2000-09-20,50.6897,156.018,NO,,0.0156,0.0196,0.0229,0.0188,-0.0005,0.0089,0.0134,0.0133,0.0091,0.0034,-0.0048,-0.0062,-0.0019,-0.0019,0.0059,0.0078,0.0016,0.0037,0.0014,0.0027,-0.0046,-0.0069,0.0012,0.0029,0.0008,-0.0016,-0.0054,-0.0002,0.0073
2000-09-20,50.6897,156.018,O,,0.0239,0.0237,0.0505,0.018,0.0031,0.0089,0.0192,0.0127,0.0158,0.0117,0.0165,0.0185,0.0187,0.0123,0.0145,0.0148,0.0064,0.0017,-0.0045,-0.0038,-0.0002,-0.0032,-0.0051,-0.0087,-0.0047,1e-04,-0.0056,-0.0056,-0.004
2000-09-20,50.6897,156.018,S,0.0195,-0.0006,0.0074,0.0149,0.0069,-0.0126,0.0217,0.0337,0.0239,0.0287,0.0109,-0.0004,-0.0012,-0.0062,-0.0118,-0.0082,-0.0146,-0.0027,-0.0101,-0.0146,-0.0122,-0.0092,-0.0057,-0.0002,-0.0017,0.0051,0.0066,0.0084,0.0066,0.0075
2000-09-20,50.6897,156.018,SE,,0.0257,0.031,0.0204,0.0294,0.0209,0.0347,0.0339,0.0339,0.025,0.0103,-0.013,-0.0205,-0.0066,-1e-04,0.0002,-0.005,0.0026,-0.0051,-0.0042,-0.0005,-0.0017,-0.0046,0.0002,0.0051,0.009,0.0031,-0.0015,-0.0023,-0.0111
2000-09-20,50.6897,156.018,SO,,0.0043,0.0176,0.0191,-0.0137,-0.0105,-0.0215,-0.0153,-0.0071,-0.007,0.0091,-0.0019,-0.0008,-0.0053,0.0009,0.0039,0.011,-0.003,-0.0033,-0.0038,-0.0084,-0.0029,0.0002,0.0002,0.0015,0.0061,0.0049,0.0055,0.0049,0.009
2000-12-09,50.6817,156.0124,E,,,,0.026,0.0213,0.0199,0.015,0.0136,0.0073,0.0025,0.0002,0.0009,0.0032,0.0049,0.0082,0.0083,0.0025,0.0015,0.001,-0.003,-0.0017,-0.0035,-0.0019,-0.0015,-0.0026,-0.0059,-0.0055,-0.0054,-0.0051,-0.0046
2000-12-09,50.6817,156.0124,N,,,,,,,,0.0081,0.004,-0.0016,0.0013,0.0023,-0.0005,-0.0004,0.0007,1e-04,-0.0022,-0.002,-0.0027,-0.0029,-0.002,0.0012,-0.001,0.001,-0.0004,0.0,-1e-04,0.0024,-0.0005,-0.0009
2000-12-09,50.6817,156.0124,NE,,,,,,0.022,0.0167,0.013,0.0086,0.0092,0.0015,0.0041,0.0019,0.001,-0.0005,-0.0005,-0.0025,-0.003,0.0,0.0008,0.0017,0.0002,-0.0003,-0.0023,-0.0026,-0.0032,-0.0018,-0.0024,-0.002,-0.0016
2000-12-09,50.6817,156.0124,NO,,-0.0013,0.0025,0.0026,-0.0012,0.0002,0.0028,0.0053,0.0033,0.0011,-1e-04,-0.0013,0.0008,-0.0029,-0.0044,-0.0043,-0.0031,-0.0012,-0.0021,-0.0024,-0.0018,-0.0008,0.0005,-0.0002,1e-04,-0.0016,0.0022,-0.0012,-0.0008,-1e-04
2000-12-09,50.6817,156.0124,O,-0.0021,-0.0061,-0.0085,-0.0078,-0.0068,-0.0064,-0.0037,-0.0,-0.0003,-0.0017,0.0033,0.0028,0.0014,0.0022,-0.0033,0.005,,-0.0043,-0.0052,-0.0019,-0.0006,0.0065,-0.0015,-0.0015,,,,,,
2000-12-09,50.6817,156.0124,S,,,,0.0068,0.008,0.0074,0.0155,0.0037,0.0049,0.0028,0.0023,0.0049,0.0084,0.0118,0.0164,0.01,0.0097,0.004,0.0029,-0.0007,-0.0008,-0.001,-0.0026,-0.0032,-0.0045,-0.0043,-0.003,-0.0028,-0.0025,-0.0024
2000-12-09,50.6817,156.0124,SE,0.027,,,0.0175,,0.013,0.0089,0.0075,0.0028,0.0037,-0.0002,0.0015,-0.0034,-0.003,-0.0028,-0.0028,-0.0028,-0.0025,-0.0006,0.0045,0.003,0.0008,0.0004,0.0002,-0.0012,-0.0016,-0.0012,-0.001,-0.0007,0.0007
2000-12-09,50.6817,156.0124,SO,-0.0005,-0.0007,-0.0006,-0.005,-0.01,-0.0078,-0.0015,0.0018,-0.0013,-0.0029,-0.0029,-0.0009,0.0041,0.004,0.0067,0.0126,,,,,,,,,,0.007,0.0004,-0.0046,-0.0036,-0.0076
2001-07-21,50.6897,156.018,E,-0.029,-0.0452,0.0086,0.0179,0.0357,0.0417,0.0358,0.0257,0.0107,0.0293,0.0601,0.0577,0.0299,0.0072,-0.0092,-0.012,-0.0411,-0.0039,-0.0028,-0.0047,-0.0072,-0.0143,-0.0208,-0.0253,-0.0203,-0.003,0.0013,0.0073,0.0125,-0.0002
2001-07-21,50.6897,156.018,N,0.0441,0.0614,0.0613,0.0427,0.0497,0.055,0.034,0.0449,0.005,0.029,0.029,0.031,0.0117,-0.0119,-0.0164,-0.0064,-0.0053,-0.0042,-0.005,-0.0099,-0.0137,-0.0037,-0.0161,-0.0135,-0.0192,-0.0171,0.0029,0.0329,0.0288,0.0303
2001-07-21,50.6897,156.018,NE,,0.0373,0.0418,0.0755,0.1088,0.1267,0.1319,0.1185,0.0967,0.0827,0.0794,0.0945,0.0828,0.0488,0.0182,0.0047,-0.009,-0.0067,-0.0204,-0.0353,-0.0273,-0.0292,-0.0506,-0.0446,-0.0428,-0.0056,-0.0044,-0.0175,-0.0396,-0.0248
2001-07-21,50.6897,156.018,NO,,0.0872,0.0701,0.0532,0.0487,0.0421,0.0311,0.0331,0.0363,0.0376,0.0349,0.0232,0.0181,0.027,0.0234,0.0251,-0.0045,-0.0241,-0.014,-0.0469,-0.0591,-0.0477,-0.0366,-0.022,-0.001,0.0134,0.0117,0.0053,0.0031,-0.0096
2001-07-21,50.6897,156.018,O,,0.0997,0.0885,0.0825,0.0311,0.0228,0.0325,0.0488,0.0493,0.0423,0.0466,0.0567,0.0648,0.0561,0.038,0.0216,0.0041,0.0015,0.0021,-0.008,-0.0263,-0.0064,-0.0012,-0.0059,-0.0177,-0.0305,-0.0284,-0.0288,-0.0268,-0.0252
2001-07-21,50.6897,156.018,S,0.0862,0.0418,0.0202,0.0037,0.0068,-0.006,0.051,0.0893,0.0877,0.0794,0.0337,-0.0245,-0.0159,-0.0086,-0.0192,-0.0087,-0.0154,-0.01,-0.022,-0.013,-0.0214,-0.0042,0.0015,0.0112,0.0027,1e-04,0.0115,0.0117,0.0164,0.0084
2001-07-21,50.6897,156.018,SE,,-0.0497,-0.0412,-0.024,0.0279,0.0058,0.0547,0.0584,0.0584,0.0292,-0.0199,-0.0042,-0.0009,-0.0161,-0.0142,-0.0153,-0.0029,0.0042,-0.0032,-0.0008,-0.0026,-0.003,-0.0148,-0.0028,0.0035,-0.0027,0.0169,0.0094,0.0142,0.0009
2001-07-21,50.6897,156.018,SO,,0.0596,0.0385,0.0345,-0.0341,-0.0265,-0.0304,-0.0287,-0.0289,-0.0282,-0.0041,-0.0132,0.0047,0.003,0.0027,0.0055,-0.0032,-0.0035,-0.0104,-0.0021,-0.0063,-0.006,-0.0023,-0.001,-0.0035,0.0019,0.012,0.0124,0.0193,0.0206
2001-08-06,50.6859,156.0177,E,0.0551,0.0478,0.0198,0.02,0.0061,-0.0059,-0.0201,-0.0333,-0.0438,-0.0313,-0.0187,-0.0031,-0.0177,-0.0277,-0.0038,0.012,0.0192,0.0211,0.0402,0.0386,0.0383,0.0185,0.0131,0.0232,0.0266,0.0171,0.0004,-0.0125,-0.0217,-0.0306
2001-08-06,50.6859,156.0177,N,0.0285,0.018,0.0191,0.0161,0.0164,0.0208,0.0197,0.0202,0.0299,-0.0144,0.0022,-0.0002,0.0037,0.0096,0.0381,0.042,0.0364,0.0264,0.0091,-0.0124,-0.0139,-0.0163,-0.0139,-0.0028,-0.0045,0.0029,-0.0033,-0.0089,0.0067,0.0264
2001-08-06,50.6859,156.0177,NE,,-0.0311,-0.0317,-0.0397,-0.0366,-0.0397,-0.024,-0.0139,-0.0122,-0.0128,-0.0132,-0.015,-0.0117,-0.0071,-0.0041,0.006,0.017,0.0126,0.0176,0.008,0.0133,-0.0049,-0.0053,0.0057,0.0036,-0.0047,-0.0054,-0.0081,-0.0129,-0.0211
2001-08-06,50.6859,156.0177,NO,,0.0529,0.0409,0.0323,0.0181,-0.0046,-0.0338,,,,,,,,,,,,,,,,,,,,-0.0167,-0.0164,-0.0127,0.0005
2001-08-06,50.6859,156.0177,O,,0.1083,0.0979,0.0866,0.0786,0.0689,0.0596,0.0325,0.0348,-0.0249,-0.0434,,,-0.041,0.0016,0.0174,-0.0397,-0.0377,-0.0344,,,,-0.0367,-0.0363,0.0143,0.0337,0.0292,0.0152,-0.0008,-0.0111
2001-08-06,50.6859,156.0177,S,,0.0919,0.0739,0.0561,0.0426,0.0317,0.0279,0.0116,0.009,-0.0196,-0.0244,-0.0236,-0.0127,-0.0079,0.0087,0.0,0.0103,0.0032,0.0004,-0.0074,0.0,0.0023,0.0069,0.0102,0.0098,0.0065,0.0062,-0.0024,-0.0029,-0.0142
2001-08-06,50.6859,156.0177,SE,,0.1059,0.0861,0.07,0.0416,0.0137,0.0114,0.0129,0.0023,-0.0103,-0.02,-0.027,-0.0138,-0.0225,-0.0071,-0.0202,-0.0055,-0.0018,-0.0047,-0.0045,-0.0059,-0.0205,-0.0027,-0.0079,0.0025,0.0027,0.0131,0.014,0.0104,0.0123
2001-08-06,50.6859,156.0177,SO,,0.0564,0.0565,0.0497,0.0369,0.0333,0.0264,0.0081,0.0145,0.0152,0.0015,-0.0137,-0.0178,-0.0054,0.0004,0.0018,0.0063,0.0151,0.0159,0.0205,0.0208,0.0204,0.0173,0.0029,0.0143,0.0019,0.0015,-0.0122,-0.0201,-0.0185
2001-11-10,50.6828,156.0099,E,,0.018,0.0172,0.002,0.0012,0.0051,0.0033,-0.0006,0.0023,0.001,-0.0013,-1e-04,-0.0015,-0.001,-0.001,1e-04,-0.0005,-0.0016,-0.0029,,,,,,,,,,,
2001-11-10,50.6828,156.0099,N,0.0189,-0.0072,0.0033,0.0093,-0.0017,0.0061,0.0036,0.0037,0.0003,-0.0023,-0.0029,-0.0031,-0.003,-0.0012,0.0003,0.0026,0.0033,0.0052,0.0051,0.0032,0.0016,0.0013,-0.0032,-0.0003,-0.0063,-0.0074,-0.005,-0.0072,-0.0088,-0.0099
2001-11-10,50.6828,156.0099,NE,,0.0125,0.0084,0.0173,0.0166,0.0067,0.0085,0.0064,-0.0018,-0.0016,0.0018,0.0027,,,,-0.001,-0.001,-0.0009,-0.0007,-0.001,-0.001,-0.001,-0.0016,-0.0015,-0.0015,-0.0017,-0.0016,-0.0017,-0.0016,-0.0016
2001-11-10,50.6828,156.0099,NO,,-0.003,-0.0132,0.007,0.0033,0.0041,0.0044,0.0019,0.0003,0.0034,0.0021,0.0024,-0.0016,-0.0025,-0.0029,-0.0008,-0.0002,0.0005,0.0019,,0.0042,,,,,,,,,
2001-11-10,50.6828,156.0099,O,0.006,0.0056,0.006,0.0063,-0.0097,0.0107,-0.0054,-0.0057,0.0018,-0.0037,0.0017,0.0014,-0.0007,-0.0024,-0.0007,-0.0069,-0.0073,-0.0013,-0.0065,,,,,,,,,,,
2001-11-10,50.6828,156.0099,S,0.0154,0.0113,0.0101,0.0087,0.0089,0.009,0.005,0.0031,0.0035,0.0074,0.0071,0.0015,0.0047,-0.0149,0.0045,0.0046,0.0006,0.0006,-0.0028,-0.0042,-0.0039,-0.0003,0.0025,0.0009,-0.01,,,,-0.0013,0.0043
2001-11-10,50.6828,156.0099,SE,,0.0172,0.0134,0.0129,0.0171,0.0119,0.0091,0.0058,0.002,0.0017,0.002,0.0021,-0.003,-0.0058,-0.0052,0.0006,0.0052,0.0039,0.0042,-0.004,0.0002,0.0018,0.0012,-0.0013,-0.0023,-0.0027,-0.004,-0.0057,,
2001-11-10,50.6828,156.0099,SO,0.0104,0.0082,0.0061,0.0009,0.0029,0.0028,-0.0011,0.003,0.0014,0.0015,0.0014,-0.0048,-0.0027,-0.0067,-0.0056,-0.0059,-0.0057,-0.0012,-0.0011,-0.001,0.0007,0.0008,0.0069,0.0092,0.0116,,,,,
2002-07-24,50.6848,156.0164,E,0.0501,0.0516,0.0319,0.0204,0.0356,0.0435,0.029,0.0116,0.0068,0.0033,-0.005,-0.0298,-0.0336,-0.0411,-0.0101,0.0065,-0.0013,-0.0066,0.0012,0.0104,0.0192,0.0343,0.0217,0.0157,0.0303,0.0285,0.0101,0.0037,0.0054,-0.009
2002-07-24,50.6848,156.0164,N,0.0566,0.0611,0.0453,0.0364,,0.027,0.0085,0.0058,-0.0182,-0.0056,-0.0056,-0.0125,-0.0072,-0.0027,-0.0134,0.0034,-0.0017,0.0101,0.017,0.0024,-0.0059,-0.0026,-0.0079,-0.0228,-0.0221,-0.0169,-0.0038,-0.0066,0.0097,0.0227
2002-07-24,50.6848,156.0164,NE,,-0.0216,,,,,,,,,-0.0469,-0.025,-0.0133,-0.0026,0.0031,-0.0011,0.0053,0.0065,0.0063,0.0035,0.0027,0.0046,0.0108,0.0168,0.0076,0.0012,-0.0087,-0.0132,-0.0192,-0.0274
2002-07-24,50.6848,156.0164,NO,,0.0162,0.0087,0.0035,0.0003,-0.0026,-0.0032,-0.004,0.0066,0.0064,-0.0028,0.0028,-0.0087,-0.0092,-0.0191,-0.0042,0.0067,0.0087,0.0097,0.0117,0.0095,0.0061,-1e-04,0.0069,0.0101,0.0037,-0.0005,-0.0034,-0.0095,0.0089
2002-07-24,50.6848,156.0164,O,,0.0394,0.0226,-0.0153,-0.0149,-0.026,-0.0438,-0.0449,-0.0047,-0.0095,0.0055,-0.0067,-0.0286,,,-0.0168,-0.034,-0.0348,-0.0203,,-0.0168,-0.0152,-0.0177,-0.0217,-0.0134,-0.0118,-0.0054,0.0066,0.0106,0.0209
2002-07-24,50.6848,156.0164,S,,0.0235,0.0125,0.011,0.0124,0.0088,-0.0107,-0.0063,-0.0141,0.0148,0.0111,0.0308,0.0095,0.0198,0.0033,0.0035,0.0018,0.0,-0.0041,-0.0036,0.0065,-0.0007,0.0012,-0.003,0.0021,0.0062,,,,
2002-07-24,50.6848,156.0164,SE,0.0807,0.073,0.0437,0.0143,-0.0139,-0.0063,0.0107,0.0047,-0.0064,-0.0087,0.0038,,,,,,,,,-0.0047,-0.0002,0.0054,0.0018,,,,,,,
2002-07-24,50.6848,156.0164,SO,,-0.0146,-0.0159,-0.0206,-0.0104,-0.0158,-0.0101,-0.0115,-0.0094,0.0049,0.0111,0.0242,0.0181,0.0176,0.0189,0.0118,0.0143,0.0071,-0.0029,0.0085,-0.0263,-0.0447,,-0.0195,-0.0047,-0.0039,-0.0094,-0.0026,0.0064,0.0128
2003-09-29,50.6846,156.0164,E,0.0079,0.0002,-0.012,-0.0302,-0.015,0.0065,0.0138,0.0266,-0.0083,0.0033,0.0045,0.0007,-0.0136,-0.0494,-0.0495,-0.0217,,,,0.0045,,0.0034,0.0053,0.0196,0.018,0.0067,0.0056,0.0106,0.0165,0.0092
2003-09-29,50.6846,156.0164,N,0.0167,0.0168,0.0174,0.0265,0.0146,0.0192,0.0065,0.0091,0.0003,-0.0042,0.0025,-0.0044,-0.0022,-0.0062,-0.0034,0.0133,0.014,-0.0053,,,,,,,,,,,,
2003-09-29,50.6846,156.0164,NE,,-0.0047,-0.0096,-0.0084,-0.0017,-0.0055,0.0031,0.0061,0.0014,-0.002,-0.008,-0.0112,-0.008,-0.0046,-0.004,-0.0021,-0.0063,-0.0049,0.0039,0.0048,0.0115,0.0152,0.0116,0.0123,0.013,0.0019,0.0285,0.0118,0.0108,0.0057
2003-09-29,50.6846,156.0164,NO,,0.0273,0.0262,0.0166,0.0171,0.0121,0.0105,0.0053,0.0033,-0.0017,-0.0061,-0.018,-0.0051,-0.0108,-0.0115,-0.0054,-0.0044,0.0031,-0.0024,-0.0033,-0.0105,-0.0088,-0.0027,-0.0018,0.0161,0.0195,0.01,0.0094,0.0087,0.0134
2003-09-29,50.6846,156.0164,O,,0.0458,0.0407,0.0374,0.0291,0.0329,0.0328,0.0233,0.0151,0.0141,0.0138,0.0048,-0.0039,-0.0049,-0.0007,-0.001,-0.0023,-0.0019,-0.0061,-0.0079,-0.009,-0.0011,0.0028,0.0007,0.0007,0.0006,-0.0028,,,
2003-09-29,50.6846,156.0164,S,,0.0364,0.0289,0.0315,0.0319,0.0208,0.0007,0.0039,-0.0024,-0.0047,-0.0019,0.0096,-0.0041,0.004,-0.0062,-0.0012,-0.0022,0.0025,0.0034,-0.0003,0.0014,0.0032,0.0023,0.0007,0.0016,0.0017,-0.002,-0.0033,-0.0029,0.0013
2003-09-29,50.6846,156.0164,SE,0.0709,0.0642,0.047,0.0226,0.0095,0.0101,0.0099,0.0173,0.0199,0.0183,0.0069,-0.0052,-0.0012,0.0006,-0.0023,-0.0004,-0.0073,-0.0077,-0.0096,-0.0098,-0.0085,-0.006,-0.0032,-0.0035,0.0031,0.0058,0.0032,0.0032,0.0072,0.0093
2003-09-29,50.6846,156.0164,SO,,0.0154,0.0159,0.0091,0.0056,0.0016,-0.0015,0.0006,0.0046,0.0081,0.0121,0.0129,0.0111,0.0093,0.0092,0.0056,0.0068,0.0034,0.0023,-0.0046,-0.0079,-0.0086,-0.0112,-0.0089,-0.0068,-0.0116,-0.002,-0.0007,0.0089,0.0061
2004-07-29,50.6848,156.0164,E,0.0212,0.023,0.0101,0.0075,0.0205,0.0192,0.0238,0.0076,0.0041,0.0011,-0.0055,0.0029,-0.0141,-0.0296,-0.0065,0.0094,0.0162,0.0045,0.002,0.0045,0.0062,0.0202,0.0267,0.0128,0.0207,0.0215,-0.0027,-0.0195,0.0043,-0.0127
2004-07-29,50.6848,156.0164,N,0.0486,0.0535,0.042,0.0427,0.0391,0.0412,0.0323,0.0118,-0.0153,-0.0113,0.0199,-0.0087,-0.0096,-0.007,-0.0175,0.0105,0.0049,-0.0149,0.0113,-0.0004,-0.0085,-0.0374,-0.0293,-0.038,0.0264,-0.0252,-0.0177,0.0015,0.023,0.0244
2004-07-29,50.6848,156.0164,NE,,-0.0356,-0.033,-0.0302,-0.0175,-0.0129,-0.0106,-0.0125,-0.0107,-0.0045,-0.003,-0.0051,0.0038,0.0154,0.0128,0.0038,0.0106,0.0066,0.0007,-0.007,-0.0002,0.0103,0.0088,0.0076,0.0178,-0.0084,-0.0213,,,
2004-07-29,50.6848,156.0164,NO,,0.0252,0.0219,-0.0304,-0.0053,0.001,-0.0133,0.0235,0.0142,0.0231,0.01,0.0085,-0.0036,-0.0032,-0.009,0.0066,0.0303,0.0252,0.0155,0.0081,-1e-04,-0.0165,-0.0226,-0.0045,0.0118,0.0012,-0.0069,-0.004,-0.0116,-0.0091
2004-07-29,50.6848,156.0164,O,,0.111,0.0146,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-29,50.6848,156.0164,S,,0.0752,0.0687,0.0665,0.065,0.0431,0.0187,-0.0022,-0.0013,0.0007,-0.0046,0.0033,-0.0056,-0.0003,-0.0098,-0.0012,0.0016,0.0127,0.0053,-0.0003,0.0234,0.0122,0.0025,-0.0115,0.0016,-0.0014,-0.0068,0.0062,-0.0025,0.0151
2004-07-29,50.6848,156.0164,SE,0.0639,0.0511,0.0271,0.0106,0.0248,0.0312,0.0332,0.0238,0.0135,0.0005,-0.0084,-0.0059,-0.0011,-0.0059,-0.0037,-0.0137,-0.0108,-0.0037,-0.0052,-0.0056,-0.0124,-0.0161,0.0156,-0.0207,0.0142,0.0055,0.0075,-0.0021,0.0033,-0.0072
2004-07-29,50.6848,156.0164,SO,,0.036,0.0385,0.005,0.0324,0.0267,0.0449,0.0207,-0.0188,-0.0577,,,,,,,,,,,,0.0096,-0.0095,-0.0192,-0.0082,0.0084,0.016,0.0248,0.0274,0.0173
2004-08-30,50.6849,156.016,E,0.0505,0.0479,0.0322,0.0258,0.0263,0.0256,0.0299,0.0118,0.0112,-0.0031,-0.0079,-0.0116,-0.0212,-0.0263,-0.0174,-0.0131,-0.0033,-0.0015,0.0089,0.0199,0.0185,0.0207,0.0145,0.0026,0.0169,0.0051,0.0066,0.0112,0.0086,-0.0033
2004-08-30,50.6849,156.016,N,0.0321,0.0266,0.0231,0.0193,0.0253,0.0161,0.0203,0.0111,0.0165,0.0046,0.0066,-0.0008,-0.0086,-0.009,-0.0058,-0.0046,-0.0004,-0.0058,-0.0046,-0.0038,-0.0035,0.0037,0.0025,0.0107,0.0029,-0.0004,-0.0078,-0.0075,-0.0054,0.0059
2004-08-30,50.6849,156.016,NE,-0.0013,-0.0059,-0.0103,-0.0116,-0.0106,-0.0088,-0.0108,-0.0098,-0.0147,-0.0174,-0.013,-0.0079,-0.0048,-0.0052,-0.0049,-0.001,0.008,0.0096,0.0071,0.0082,0.0014,0.0061,0.0071,0.0121,0.0075,0.0113,0.0054,-0.0035,-0.0093,-0.0109
2004-08-30,50.6849,156.016,NO,,0.0327,0.0264,0.0235,0.0241,0.0112,0.0037,0.0097,0.0032,0.0098,0.0096,0.0078,-0.0051,0.0018,-0.0005,-0.0105,-0.0085,-0.0002,0.0069,0.0166,0.0167,0.0114,0.0105,-0.0022,-0.0028,0.0054,-0.0041,-0.0162,-0.0115,-0.0156
2004-08-30,50.6849,156.016,O,,0.0663,0.0627,0.0538,0.0343,0.0237,0.0052,-0.0119,-0.0107,0.0201,0.0281,0.0392,0.0262,0.017,0.0069,-0.0105,0.0077,0.01,-0.0062,-0.0036,-0.0059,-0.004,-0.0012,0.0007,-0.001,-0.0035,-0.002,-0.0018,-0.0005,-0.0029
2004-08-30,50.6849,156.016,S,0.0229,0.0192,-0.0052,-0.0029,-0.0047,-0.0198,-0.0051,-0.0101,-0.0018,-0.0013,0.0067,0.0015,0.0092,-0.0023,0.0034,-0.0079,0.0012,0.0015,-0.0007,0.003,0.0039,0.0027,0.0017,0.0011,0.005,0.0008,0.0029,0.0002,0.001,-0.0024
2004-08-30,50.6849,156.016,SE,,0.0585,0.0328,0.0219,0.019,0.0169,0.0159,0.0055,0.0088,0.0065,0.0027,0.0032,-0.0008,-0.0019,-0.0023,-0.0048,-0.0127,-0.0096,-0.0102,-0.006,-0.0067,0.0011,0.0042,0.0004,-0.0042,0.0062,0.0107,0.0108,0.0121,0.0058
2004-08-30,50.6849,156.016,SO,,-0.0022,-0.0102,-0.005,-0.0077,-0.0074,-0.0097,-0.0056,0.0034,0.013,0.0127,0.0179,0.0207,0.0175,0.0185,0.0175,0.0052,0.005,-0.0008,0.0046,-0.0072,-0.0119,-0.0159,-0.0093,-0.0126,-0.0135,-0.0094,-0.0101,0.0022,0.0003
2004-09-15,50.6854,156.0164,E,0.0295,0.0048,0.0288,0.0354,0.0437,0.0272,0.0224,0.0178,,,,0.0031,0.0115,0.0406,0.0338,0.0354,0.0318,0.0118,-0.0082,-0.0034,-0.0114,-0.0134,-0.0121,-0.0131,-0.0133,-0.0069,-0.007,-0.0037,,
2004-09-15,50.6854,156.0164,N,0.0003,0.0084,0.0105,0.0122,0.0113,0.0107,0.0147,0.0126,0.0052,-0.0089,-0.0033,-0.0124,-0.0048,0.007,-0.0069,-0.0092,-0.0052,-0.0047,-0.0076,-0.0102,-0.0115,-0.0151,-0.0144,-0.0096,-0.0085,0.0026,0.0036,0.0089,0.0211,0.0208
2004-09-15,50.6854,156.0164,NE,,0.0043,0.0035,0.0099,0.0149,0.0045,-0.0099,-0.0065,0.0039,0.0084,0.0082,0.0049,0.0097,0.0076,0.0083,0.0011,-0.0087,-0.0098,-0.0035,-0.0046,-0.0025,-0.0006,0.0077,-0.0015,0.0071,0.0038,-0.0009,-0.0008,-0.0057,0.0062
2004-09-15,50.6854,156.0164,NO,,0.0113,0.0094,,,,,,,,,,,,,0.0028,0.0094,0.0009,-0.0062,-0.0016,-0.0004,0.0007,-0.0033,0.0013,-0.0002,0.0017,0.0136,0.0098,0.0011,-0.0063
2004-09-15,50.6854,156.0164,O,,0.051,0.0449,,,,,,,,,,,,,0.0005,0.0158,0.022,-0.0223,,-0.0191,-0.0091,0.0026,0.0004,-0.002,-0.0059,0.0017,-0.0026,0.0016,0.0021
2004-09-15,50.6854,156.0164,S,0.0134,-0.0043,-0.0011,-0.0159,0.0065,-0.0077,-0.0025,0.0038,0.0013,-0.0062,-0.0078,0.0127,-0.0002,0.0038,-0.0069,0.0049,-0.0077,0.0007,0.0011,0.0053,0.0023,-1e-04,0.0023,0.001,0.0027,0.0025,-0.0,-0.0036,0.005,-0.0049
2004-09-15,50.6854,156.0164,SE,0.0045,-0.0,0.0006,0.0084,0.0182,0.0136,0.0084,0.0171,0.0082,0.0029,,,,,,,,-0.0131,-0.0097,-0.008,-0.013,-0.0047,-0.0013,0.0066,0.0024,0.0067,0.0012,0.0021,-0.0054,0.0068
2004-09-15,50.6854,156.0164,SO,,-0.0187,-0.0224,-0.017,-0.0194,-0.0165,-0.0156,-0.0206,-0.0218,-0.0094,-0.0037,0.009,0.011,0.0153,0.0157,0.0134,0.0149,0.0138,0.0125,0.011,0.0147,0.0096,-0.0087,-0.0113,-0.0127,-0.0129,-0.0092,-0.0099,-0.0084,-0.0117
2007-07-22,50.6856,156.0169,E,0.075,0.0577,0.0571,0.0235,-0.0027,-0.0289,-0.0409,-0.0556,-0.0633,-0.0714,-0.0706,-0.0416,0.011,0.0003,-0.0039,-0.0275,0.0161,0.0317,0.0551,0.0729,0.0582,0.0608,0.0317,0.0189,0.0058,0.0111,-0.013,-0.0352,-0.0366,-0.0507
2007-07-22,50.6856,156.0169,N,,0.0839,0.0895,0.049,0.0348,0.048,0.0347,0.0376,0.0437,0.0223,0.0443,-0.0575,-0.0017,-0.0357,-0.0456,-0.0301,0.0077,-0.0494,-0.0426,-0.0439,-0.0325,-0.0071,-0.0127,-0.0232,-0.013,-0.0062,0.0153,0.0393,0.029,0.0314
2007-07-22,50.6856,156.0169,NE,-0.0336,-0.0338,-0.0387,-0.0359,-0.0386,-0.0393,-0.0346,-0.0315,-0.0204,-0.012,-0.0152,-0.0142,-0.0171,-0.0028,-0.0006,0.0063,-0.0126,0.007,0.0172,0.0283,0.0364,0.0267,0.0208,0.0043,-0.0133,-0.0137,-0.0174,-0.0153,-0.0155,-0.0159
2007-07-22,50.6856,156.0169,NO,,0.1148,0.1027,0.0415,0.0086,-0.0208,-0.0035,-0.0034,0.0027,0.0088,0.0111,0.0052,-0.0018,-0.0112,-0.0031,-0.0007,-0.0036,0.0269,0.0217,0.0094,0.0083,-0.0117,-0.024,-0.0377,-0.0166,0.0079,-0.0059,0.0081,-0.0024,-0.0089
